34.969403,[Cl]- {Cl}
42.9989532,[C2F]- {C(F)=C}
46.9938682,[CFO]- {FC(=O)}
49.9973564,[CF2]- {C(F)(F)}
51.024,[C4H3]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
53.0397,[C4H5]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
55.0189,[C3H3O]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
57.0346,[C3H5O]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
57.9882712,[C2H2S]- {CCS}
58.00605,[CH2CO2]-_AceticAcid {CC(=O)O}
58.9938682,[C2FO]- {OC(=O)CF}
58.9938682,[C2FO]- {OC(F)=C}
58.9960958,[C2H3S]- {CCS}
59.0139,[C2H3O2]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
60.0039204,[C2H4S]- {CCS}
62.964143,[PO2]- {OP(=O)(O)}
62.9887832,[CO2F]- {C(=O)O}
63.962452,[SO2]- {S(=O)(=O)}
64.9702766,[SO2H]- {S(=O)(=O)N}
67.0189,[C4H3O]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
68.0067778,[C4HF]- {FC(=CC#C)}
68.9957596,[CF3]- {C(F)(F)}
69.0346,[C4H5O]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
70.006,[C3H2O2]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
71.0139,[C3H3O2]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
72.9931,[C2HO3]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
73.0295,[C3H5O2]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
75.0088,[C2H3O3]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
77.965526,[NO2S]- {S(=O)(=O)N}
78.918886,[Br]- {Br}
78.959058,[PO3]- {OP(=O)(O)}
78.9733506,[HNO2S]- {S(=O)(=O)N}
79.000096,[C2HF2O]- {O\C(F)=C/F}
79.957367,[SO3]- {S(=O)(=O)O}
80.9651916,[SO3H]- {S(=O)(=O)O}
80.9957596,[C2F3]- {C(F)(F)CF}
81.0346,[C5H5O]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
81.9625462,[PO2F]- {OP(=O)(O)}
82.9608552,[SO2F]- {S(=O)(=O)}
82.9960958,[C4H3S]- {C(F)(F)CCSC}
83.0139,[C4H3O2]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
84.0217,[C4H4O2]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
84.9906746,[CF3O]- {OC(F)(F)}
85.0295,[C4H5O2]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
85.9973564,[C4F2]- {FC(C#C)=C(F)}
87.0088,[C3H3O3]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
88.9866744,[C3H2SF]- {C(F)(F)CCS}
89.0244,[C3H5O3]-_Glucuronic_Acid {OC1OC(C(O)C(O)C1O)C(O)=O}
89.965526,[CNSO2]- {S(=O)(=O)NC}
90.9859258,[C2H3SO2]- {SCC(=O)O}
91.9811752,[CH2NO2S]- {S(=O)(=O)NC}
92.9804466,[C5HS]- {C(F)(F)C(F)(F)CCSC}
92.9889998,[CH3NO2S]- {S(=O)(=O)NC}
92.9957596,[C3F3]- {C(F)(F)C(F)=C}
92.9957596,[C3F3]- {F\C=C(\F)C(F)}
92.9957596,[C3F3]- {OS(=O)(=O)C(F)C(\F)=C(/F)}
93.9730162,[CH2SO3]- {CS(=O)(=O)O}
