"DTXSID60777029;2,3,3,3-Tetrafluoro-N-hydroxypropanimidoyl fluoride;1428-28-0;YQGWMHYMTIFHLJ-UHFFFAOYSA-N;C3H2F5NO;ON=C(F)C(F)C(F)(F)F;[M-H]-",161.9983795
DTXSID8059970;Perfluoropropanoic acid;422-64-0;LRMSQVBRUNSOJL-UHFFFAOYSA-N;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F;[M-H]-,162.9823951
DTXSID20726018;(Pentafluoroethyl)boronic acid;1247012-61-8;JOAYPROFYWNADM-UHFFFAOYSA-N;C2H2BF5O2;OB(O)C(F)(F)C(F)(F)F;[M-H]-,162.999525
DTXSID6068985;2:2 fluorotelomer alcohol;54949-74-5;JPMHUDBOKDBBLG-UHFFFAOYSA-N;C4H5F5O;OCCC(F)(F)C(F)(F)F;[M-H]-,163.0187806
DTXSID70880134;1-Pentafluoroethylethanol;374-40-3;BUGIAHXXBFVPGW-UHFFFAOYSA-N;C4H5F5O;CC(O)C(F)(F)C(F)(F)F;[M-H]-,163.0187806
DTXSID8061844;Hexafluoroisopropylideneimine;1645-75-6;VVRCKMPEMSAMST-UHFFFAOYSA-N;C3HF6N;FC(F)(F)C(=N)C(F)(F)F;[M-H]-,163.994043
"DTXSID9059969;1H-Perfluoro-1,1-propanediol;422-63-9;BQAOCAJBGDDVSL-UHFFFAOYSA-N;C3H3F5O2;OC(O)C(F)(F)C(F)(F)F;[M-H]-",164.9980452
DTXSID70481246;2-Amino-2H-perfluoropropane;1619-92-7;UHEDJBIYIWUMLU-UHFFFAOYSA-N;C3H3F6N;NC(C(F)(F)F)C(F)(F)F;[M-H]-,166.0096931
DTXSID00201737;Perfluoro-1-propanol;53520-89-1;YEDDVXZFXSHDIB-UHFFFAOYSA-N;C3H2F6O;OC(F)(F)C(F)(F)C(F)F;[M-H]-,166.9937087
DTXSID1022134;2H-Perfluoro-2-propanol;920-66-1;BYEAHWXPCBROCE-UHFFFAOYSA-N;C3H2F6O;OC(C(F)(F)F)C(F)(F)F;[M-H]-,166.9937087
DTXSID10301858;TETRAFLUOROSUCCINIMIDE;377-33-3;LHNPDXSWOZFOAO-UHFFFAOYSA-N;C4HF4NO2;FC1(F)C(=O)NC(=O)C1(F)F;[M-H]-,169.9870659
