Feature,RT,Intensity,mz,File,Zoom
103,7.79,3707784,498.93168,AFFF3_Target_Neg.mzXML,1
103,7.81,3787868,498.93164,AFFF3_Target_Neg.mzXML,1
103,7.86,3749334,498.93188,AFFF3_Target_Neg.mzXML,1
103,7.88,3385421,498.93149,AFFF3_Target_Neg.mzXML,1
103,7.89,2709086,498.93051,AFFF3_Target_Neg.mzXML,1
103,7.9,1796665,498.93005,AFFF3_Target_Neg.mzXML,1
103,7.91,1051043,498.92989,AFFF3_Target_Neg.mzXML,1
103,7.93,771872,498.93038,AFFF3_Target_Neg.mzXML,1
103,7.94,728250,498.92955,AFFF3_Target_Neg.mzXML,1
103,7.95,766601,498.92988,AFFF3_Target_Neg.mzXML,1
103,7.96,798012,498.92958,AFFF3_Target_Neg.mzXML,1
103,7.98,759135,498.92984,AFFF3_Target_Neg.mzXML,1
103,7.99,793789,498.9304,AFFF3_Target_Neg.mzXML,1
103,8.01,1283082,498.93053,AFFF3_Target_Neg.mzXML,1
103,8.02,2521208,498.93131,AFFF3_Target_Neg.mzXML,1
103,8.16,2649516,498.93155,AFFF3_Target_Neg.mzXML,1
103,8.17,1189242,498.92996,AFFF3_Target_Neg.mzXML,1
103,8.18,568570,498.92956,AFFF3_Target_Neg.mzXML,1
103,8.2,305252,498.92896,AFFF3_Target_Neg.mzXML,1
103,8.21,182609,498.92966,AFFF3_Target_Neg.mzXML,1
103,8.23,122101,498.93119,AFFF3_Target_Neg.mzXML,1
103,8.24,94742,498.93085,AFFF3_Target_Neg.mzXML,1
103,8.25,79001,498.93018,AFFF3_Target_Neg.mzXML,1
103,8.26,69365,498.93079,AFFF3_Target_Neg.mzXML,1
103,8.28,61753,498.93024,AFFF3_Target_Neg.mzXML,1
103,8.29,51001,498.92992,AFFF3_Target_Neg.mzXML,1
103,8.31,44039,498.93041,AFFF3_Target_Neg.mzXML,1
103,8.32,35068,498.93048,AFFF3_Target_Neg.mzXML,1
103,8.34,33500,498.93075,AFFF3_Target_Neg.mzXML,1
103,8.35,28540,498.92973,AFFF3_Target_Neg.mzXML,1
103,8.37,25226,498.92995,AFFF3_Target_Neg.mzXML,1
103,8.38,22006,498.92986,AFFF3_Target_Neg.mzXML,1
