Feature,m/z,Intensity,Isotope,Formula,PredAbundance,File,Zoom
100,398.935802269493,856573.0625,M,C6HF13O3S,,AFFF3_Target_Neg.mzXML,1
100,399.542569453281,317.706512451172,,,,AFFF3_Target_Neg.mzXML,1
100,399.602793637802,693.378662109375,,,,AFFF3_Target_Neg.mzXML,1
100,399.679771370617,284.619750976562,,,,AFFF3_Target_Neg.mzXML,1
100,399.737088814394,197.542785644531,,,,AFFF3_Target_Neg.mzXML,1
100,399.795993796834,299.679229736328,,,,AFFF3_Target_Neg.mzXML,1
100,399.835635411555,273.896301269531,,,,AFFF3_Target_Neg.mzXML,1
100,399.9390076256,52913.8828125,13C1(1.08%;0.00015Da)_33S1(0.79%;0.00382Da),,,AFFF3_Target_Neg.mzXML,1
100,400.05071463213,2503.3955078125,,,,AFFF3_Target_Neg.mzXML,1
100,400.175901363705,391.623229980469,,,,AFFF3_Target_Neg.mzXML,1
100,400.26500206516,388.005737304688,,,,AFFF3_Target_Neg.mzXML,1
100,400.307216485663,196.643829345703,,,,AFFF3_Target_Neg.mzXML,1
100,400.351973512209,205.589569091797,,,,AFFF3_Target_Neg.mzXML,1
100,400.416657527911,235.484085083008,,,,AFFF3_Target_Neg.mzXML,1
100,400.476080180074,208.799499511719,,,,AFFF3_Target_Neg.mzXML,1
100,400.539753240035,245.907211303711,,,,AFFF3_Target_Neg.mzXML,1
100,400.564656253414,300.231018066406,,,,AFFF3_Target_Neg.mzXML,1
100,400.616110323659,268.943908691406,,,,AFFF3_Target_Neg.mzXML,1
100,400.673869666687,120.443405151367,,,,AFFF3_Target_Neg.mzXML,1
100,400.740513154567,160.998275756836,,,,AFFF3_Target_Neg.mzXML,1
100,400.874359201901,237.960525512695,,,,AFFF3_Target_Neg.mzXML,1
100,400.933747400295,36337.578125,81Br1(97.28%;0.00001Da)_37Cl1(32.00%;0.00090Da)_34S1(4.47%;0.00215Da),,,AFFF3_Target_Neg.mzXML,1
100,401.047885321348,4370.8408203125,,,,AFFF3_Target_Neg.mzXML,1
100,401.165666157168,124.003227233887,,,,AFFF3_Target_Neg.mzXML,1
100,401.232019535971,223.335037231445,,,,AFFF3_Target_Neg.mzXML,1
100,401.290147655448,275.000885009766,,,,AFFF3_Target_Neg.mzXML,1
100,401.351080232883,252.984451293945,,,,AFFF3_Target_Neg.mzXML,1
100,401.396269907129,148.218414306641,,,,AFFF3_Target_Neg.mzXML,1
100,401.443716787893,234.231811523438,,,,AFFF3_Target_Neg.mzXML,1
100,401.502000716242,141.379333496094,,,,AFFF3_Target_Neg.mzXML,1
100,401.56633006454,163.403717041016,,,,AFFF3_Target_Neg.mzXML,1
100,401.626751704701,220.85009765625,,,,AFFF3_Target_Neg.mzXML,1
100,401.68304440085,176.657608032227,,,,AFFF3_Target_Neg.mzXML,1
100,401.769082550435,220.0625,,,,AFFF3_Target_Neg.mzXML,1
100,401.819331245115,130.79167175293,,,,AFFF3_Target_Neg.mzXML,1
100,401.87417775261,121.213386535645,,,,AFFF3_Target_Neg.mzXML,1
100,401.936226451134,2188.79833984375,,,,AFFF3_Target_Neg.mzXML,1
100,402.044683147869,4348.1630859375,,,,AFFF3_Target_Neg.mzXML,1
100,402.149145275729,208.22314453125,,,,AFFF3_Target_Neg.mzXML,1
100,402.230761348575,155.8125,,,,AFFF3_Target_Neg.mzXML,1
100,402.376357617858,202.187149047852,,,,AFFF3_Target_Neg.mzXML,1
100,402.42206670137,301.256408691406,,,,AFFF3_Target_Neg.mzXML,1
100,402.487053976834,179.408447265625,,,,AFFF3_Target_Neg.mzXML,1
100,402.937184806279,682.003784179688,,,,AFFF3_Target_Neg.mzXML,1
100,402.998467125864,143.789474487305,,,,AFFF3_Target_Neg.mzXML,1
100,403.042931179615,1976.4609375,,,,AFFF3_Target_Neg.mzXML,1
100,403.131925558095,112.592590332031,,,,AFFF3_Target_Neg.mzXML,1
100,403.287028115512,123.222724914551,,,,AFFF3_Target_Neg.mzXML,1
100,403.513558929722,167.446426391602,,,,AFFF3_Target_Neg.mzXML,1
100,403.585895043526,127.176467895508,,,,AFFF3_Target_Neg.mzXML,1
100,403.705755464497,134.007354736328,,,,AFFF3_Target_Neg.mzXML,1
101,395.052212895207,479.849517822266,,,,AFFF3_Target_Neg.mzXML,1
101,395.762307748419,556.484802246094,,,,AFFF3_Target_Neg.mzXML,1
101,396.059533800605,797.775207519531,,,,AFFF3_Target_Neg.mzXML,1
101,396.179259585698,993.465515136719,,,,AFFF3_Target_Neg.mzXML,1
101,396.203745936684,983.032958984375,,,,AFFF3_Target_Neg.mzXML,1
101,396.322445490006,1090.84118652344,,,,AFFF3_Target_Neg.mzXML,1
101,396.401333903015,905.734069824219,,,,AFFF3_Target_Neg.mzXML,1
101,396.477318623856,922.111083984375,,,,AFFF3_Target_Neg.mzXML,1
101,396.591708769646,719.778015136719,,,,AFFF3_Target_Neg.mzXML,1
101,396.914733614632,605.765930175781,,,,AFFF3_Target_Neg.mzXML,1
101,397.10628751963,372.652954101562,,,,AFFF3_Target_Neg.mzXML,1
