"Lipid","Feature","SumOfAllFragmentsIntensities","Class","Adduct"
"1_PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","106",1500,"PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-"
"1_PFSA-perfluoroalkyl-standards-Multiple_Y;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","106",1500,"PFSA-perfluoroalkyl-standards-Multiple_Y","[M-H]-"
"1_PFCA-perfluoroalkyl-standards-Multiple_Y;C8HF15O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;[M-H]-","222",1500,"PFCA-perfluoroalkyl-standards-Multiple_Y","[M-H]-"
