Feature,m/z,Intensity,Isotope,Formula,PredAbundance,File,Zoom
100,395.060196778308,349.369415283203,,,,AFFF3_Target_Neg.mzXML,1
100,395.515657610613,137.00390625,,,,AFFF3_Target_Neg.mzXML,1
100,395.825148531381,202.272720336914,,,,AFFF3_Target_Neg.mzXML,1
100,395.862986265732,109.39673614502,,,,AFFF3_Target_Neg.mzXML,1
100,395.900363806541,124.240386962891,,,,AFFF3_Target_Neg.mzXML,1
100,396.033238623565,522.787170410156,,,,AFFF3_Target_Neg.mzXML,1
100,396.058921748929,310.355773925781,,,,AFFF3_Target_Neg.mzXML,1
100,396.151289466049,174.557693481445,,,,AFFF3_Target_Neg.mzXML,1
100,396.251075352859,215.066665649414,,,,AFFF3_Target_Neg.mzXML,1
100,396.326381287299,219,,,,AFFF3_Target_Neg.mzXML,1
100,396.367919737492,178.444580078125,,,,AFFF3_Target_Neg.mzXML,1
100,396.430557246379,129.002197265625,,,,AFFF3_Target_Neg.mzXML,1
100,396.450502050636,111.406913757324,,,,AFFF3_Target_Neg.mzXML,1
100,396.504999839843,150.840270996094,,,,AFFF3_Target_Neg.mzXML,1
100,396.610902982606,181.231109619141,,,,AFFF3_Target_Neg.mzXML,1
100,396.681489240846,238.920455932617,,,,AFFF3_Target_Neg.mzXML,1
100,396.742156677912,385.748199462891,,,,AFFF3_Target_Neg.mzXML,1
100,396.827692549094,121.457275390625,,,,AFFF3_Target_Neg.mzXML,1
100,396.879528222985,123.529411315918,,,,AFFF3_Target_Neg.mzXML,1
100,396.918445608492,126.076126098633,,,,AFFF3_Target_Neg.mzXML,1
100,396.964052703819,451.526641845703,,,,AFFF3_Target_Neg.mzXML,1
100,397.059195050519,172.037506103516,,,,AFFF3_Target_Neg.mzXML,1
100,397.098759424054,110.232688903809,,,,AFFF3_Target_Neg.mzXML,1
100,397.131136368096,136.969085693359,,,,AFFF3_Target_Neg.mzXML,1
100,397.19015451744,133.285217285156,,,,AFFF3_Target_Neg.mzXML,1
100,397.281747863815,176.454544067383,,,,AFFF3_Target_Neg.mzXML,1
100,397.403876431579,201.425735473633,,,,AFFF3_Target_Neg.mzXML,1
100,397.42672794779,230.125,,,,AFFF3_Target_Neg.mzXML,1
100,397.532471405134,123.456817626953,,,,AFFF3_Target_Neg.mzXML,1
100,397.631369198468,173.349136352539,,,,AFFF3_Target_Neg.mzXML,1
100,397.956260395342,161.896224975586,,,,AFFF3_Target_Neg.mzXML,1
100,397.987200203656,304.731201171875,,,,AFFF3_Target_Neg.mzXML,1
100,398.033098773552,323,,,,AFFF3_Target_Neg.mzXML,1
100,398.058280183004,648.597412109375,,,,AFFF3_Target_Neg.mzXML,1
100,398.151090015464,187.272125244141,,,,AFFF3_Target_Neg.mzXML,1
100,398.36642308675,274.299194335938,,,,AFFF3_Target_Neg.mzXML,1
100,398.447978225897,118.666664123535,,,,AFFF3_Target_Neg.mzXML,1
100,398.532394562095,174.020690917969,,,,AFFF3_Target_Neg.mzXML,1
100,398.596122829566,103.493850708008,,,,AFFF3_Target_Neg.mzXML,1
100,398.686758660377,168.810089111328,,,,AFFF3_Target_Neg.mzXML,1
100,398.718084192423,108.737243652344,,,,AFFF3_Target_Neg.mzXML,1
100,398.831947210236,344.102081298828,,,,AFFF3_Target_Neg.mzXML,1
100,398.936237616403,722450.125,M,C6HF13O3S,,AFFF3_Target_Neg.mzXML,1
100,399.553808972878,476.212127685547,,,,AFFF3_Target_Neg.mzXML,1
100,399.595550961783,222.425201416016,,,,AFFF3_Target_Neg.mzXML,1
100,399.639602822224,420.702178955078,,,,AFFF3_Target_Neg.mzXML,1
100,399.679510101411,267.259338378906,,,,AFFF3_Target_Neg.mzXML,1
100,399.706458163151,412.049652099609,,,,AFFF3_Target_Neg.mzXML,1
100,399.833494341877,310.243774414062,,,,AFFF3_Target_Neg.mzXML,1
100,399.89756369982,120.59846496582,,,,AFFF3_Target_Neg.mzXML,1
100,399.939583916556,47074.48046875,13C1(1.08%;0.00001Da),,,AFFF3_Target_Neg.mzXML,1
100,400.05145618156,3080.4541015625,,,,AFFF3_Target_Neg.mzXML,1
100,400.202376093141,164,,,,AFFF3_Target_Neg.mzXML,1
100,400.265811590424,200.737426757812,,,,AFFF3_Target_Neg.mzXML,1
100,400.310905066723,238.156066894531,,,,AFFF3_Target_Neg.mzXML,1
100,400.370678177012,279.517395019531,,,,AFFF3_Target_Neg.mzXML,1
100,400.398809100835,204.818893432617,,,,AFFF3_Target_Neg.mzXML,1
100,400.480610673519,259.211608886719,,,,AFFF3_Target_Neg.mzXML,1
100,400.601050436331,295.350769042969,,,,AFFF3_Target_Neg.mzXML,1
100,400.664563220299,139.1953125,,,,AFFF3_Target_Neg.mzXML,1
100,400.790505118446,117.339569091797,,,,AFFF3_Target_Neg.mzXML,1
100,400.821227485965,161.973068237305,,,,AFFF3_Target_Neg.mzXML,1
100,400.933417784779,29691.701171875,37Cl1(32.00%;0.00013Da)_30Si1(3.35%;0.00034Da)_81Br1(97.28%;0.00077Da)_34S1(4.47%;0.00138Da),,,AFFF3_Target_Neg.mzXML,1
100,401.048942626331,4274.11767578125,,,,AFFF3_Target_Neg.mzXML,1
100,401.189143467755,264.354888916016,,,,AFFF3_Target_Neg.mzXML,1
100,401.26253999603,113.804412841797,,,,AFFF3_Target_Neg.mzXML,1
100,401.366855342657,193.350280761719,,,,AFFF3_Target_Neg.mzXML,1
100,401.447707525924,199.243072509766,,,,AFFF3_Target_Neg.mzXML,1
100,401.500994342168,139.4833984375,,,,AFFF3_Target_Neg.mzXML,1
100,401.527197097703,133.611862182617,,,,AFFF3_Target_Neg.mzXML,1
100,401.558033381804,108.137382507324,,,,AFFF3_Target_Neg.mzXML,1
100,401.61485582928,184.240661621094,,,,AFFF3_Target_Neg.mzXML,1
100,401.648460977607,138.117645263672,,,,AFFF3_Target_Neg.mzXML,1
100,401.709025086543,222.845245361328,,,,AFFF3_Target_Neg.mzXML,1
100,401.752223518713,100.42798614502,,,,AFFF3_Target_Neg.mzXML,1
100,401.936166947882,1912.01647949219,,,,AFFF3_Target_Neg.mzXML,1
