"Confirmed fragments if intensity is above 100 and number of scans is greater than or equal to 1","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-","[M]-","[SO3]-","[M-C4F9]-","RT_min","RT_max","Comment","RT at Max Intensity","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-","[M]-","[SO3]-","[M-C4F9]-","RT_min","RT_max","Comment","Number of Scans","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-","[M]-","[SO3]-","[M-C4F9]-","RT_min","RT_max","Comment","Max Intensity","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-","[M]-","[SO3]-","[M-C4F9]-","RT_min","RT_max","Comment","Average m/z","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-","[M]-","[SO3]-","[M-C4F9]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N","[M-H]-","[M]-","[SO3]-","[M-C4F9]-","RT_min","RT_max","Comment"
"","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.15","6.29","100","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.15","6.29","100","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.15","6.29","100","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.15","6.29","100","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.15","6.29","100","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-","398.93660645","399.944431752","79.95736486","180.958802505","6.15","6.29","100"
"","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.33","6.47","101","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.33","6.47","101","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.33","6.47","101","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.33","6.47","101","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.33","6.47","101","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-","398.93660645","399.944431752","79.95736486","180.958802505","6.33","6.47","101"
"","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.338833333","6.478833333","3","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.338833333","6.478833333","3","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.338833333","6.478833333","3","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.338833333","6.478833333","3","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"6.338833333","6.478833333","3","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C6HF13O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)(F);[M-H]-","398.93660645","399.944431752","79.95736486","180.958802505","6.338833333","6.478833333","3"
"","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"7.79","7.93","102","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"7.79","7.93","102","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"7.79","7.93","102","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"7.79","7.93","102","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"7.79","7.93","102","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","498.93021933","499.938044632","79.95736486","280.952415385","7.79","7.93","102"
"","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"8","8.14","103","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"8","8.14","103","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"8","8.14","103","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"8","8.14","103","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"8","8.14","103","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","498.93021933","499.938044632","79.95736486","280.952415385","8","8.14","103"
"","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",1,0,1,0,"9.06","9.2","104","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",9.137483,0,9.137483,0,"9.06","9.2","104","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",1,0,1,0,"9.06","9.2","104","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",488.8133,0,108.2215,0,"9.06","9.2","104","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",498.9266,0,79.95841,0,"9.06","9.2","104","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C8HF17O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","498.93021933","499.938044632","79.95736486","280.952415385","9.06","9.2","104"
"","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",1,1,1,0,"7.18","7.32","106","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",7.257483,7.257483,7.257483,0,"7.18","7.32","106","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",1,1,1,0,"7.18","7.32","106","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",1500,1500,1500,0,"7.18","7.32","106","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",598.9238,599.9316,79.95736,0,"7.18","7.32","106","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","598.92383221","599.931657512","79.95736486","380.946028265","7.18","7.32","106"
"","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"9.59","9.73","105","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"9.59","9.73","105","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"9.59","9.73","105","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"9.59","9.73","105","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-",0,0,0,0,"9.59","9.73","105","","PFSA-perfluoroalkyl_branched_C3-standards-Multiple_N;C10HF21O3S;O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F);[M-H]-","598.92383221","599.931657512","79.95736486","380.946028265","9.59","9.73","105"
