row.ID,INCHIKEY,Name,SMILES,Formula,Mass,[M-H]-,M+1,lib_eC,lib_M_eC,lib_MD,lib_MD_eC
9999999999,FVFNWXWHNHZNFS-UHFFFAOYSA-N,"2,3,3,3-Tetrafluoro-2-(nonafluorobutoxy)propanoic acid",OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C7HF13O3,379.9718108,378.96453,7.571009805,6.999824154,54.13915002,-0.03547,-0.00506727
9999999999,HFUCGDPRBKRBFR-UHFFFAOYSA-N,Perfluoro-4-isopropoxybutanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,C7HF13O3,379.9718108,378.96453,7.571009805,6.999824154,54.13915002,-0.03547,-0.00506727
9999999999,FJNUIKKJPFFSDP-UHFFFAOYSA-N,Perfluoro-2-(perfluoropropoxy)-2-(perfluoromethyl)propanoic acid,OC(=O)C(OC(F)(F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,C7HF13O3,379.9718108,378.96453,7.571009805,6.999824154,54.13915002,-0.03547,-0.00506727
9999999999,FBJAVRFGJBNSMM-UHFFFAOYSA-N,"2,2,3,3,4,4-Hexafluoro-4-(heptafluoropropoxy)butanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,C7HF13O3,379.9718108,378.96453,7.571009805,6.999824154,54.13915002,-0.03547,-0.00506727
9999999999,RLYSBFOXKUXVTP-UHFFFAOYSA-N,Perfluoro-2-isobutoxypropanoic acid,OC(=O)C(F)(OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,C7HF13O3,379.9718108,378.96453,7.571009805,6.999824154,54.13915002,-0.03547,-0.00506727
9999999999,BZIAMCOFUCEUEE-UHFFFAOYSA-N,"6,7-Dichloro-5,5,6,7,7-pentafluoro-4-(trifluoromethyl)hept-1-en-4-ol",OC(CC=C)(C(F)(F)F)C(F)(F)C(F)(Cl)C(F)(F)Cl,C8H6Cl2F8O,339.9667959,338.9595155,8.652582634,7.999799033,42.37100383,-0.0404845,-0.00506069
9999999999,ANKSFLDOVZNXOJ-UHFFFAOYSA-N,"Perfluoro(2,5,8,11,14-pentamethyl-3,6,9,12,15-pentaoxaoctadecanoic) acid",OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,C18HF35O7,993.9163401,992.9090581,19.46831093,17.99954782,55.16300008,-0.0909419,-0.005052455
9999999999,SAQMTNGZQLPXJU-UHFFFAOYSA-N,"2-Iodo-N-(4,4,5,5,6,6,7,7,8,8,9,9,9-tridecafluorononyl)acetamide",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCNC(=O)CI,C11H9F13INO,544.9521288,543.94485,11.89730112,10.99972367,49.45077406,-0.05515,-0.005013762
9999999999,NHCAUBCDUKYIDN-UHFFFAOYSA-N,2-Chloro-4-(pentafluoroethyl)pyrimidine-5-carboxylic acid,OC(=O)C1=CN=C(Cl)N=C1C(F)(F)C(F)(F)F,C7H2ClF5N2O2,275.9724961,274.9652158,7.571009805,6.999824154,39.28173191,-0.0347842,-0.004969296
9999999999,RXBAVCJDUWLABK-UHFFFAOYSA-N,"[1-(Difluoromethoxy)-1,2,2,2-tetrafluoroethoxy](difluoro)acetic acid",OC(=O)C(F)(F)OC(F)(OC(F)F)C(F)(F)F,C5H2F8O4,277.9825343,276.9752538,5.407864146,4.999874396,55.39644237,-0.0247462,-0.004949364
9999999999,GHVHGLNEHMMXAV-UHFFFAOYSA-N,"Fluoro[1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethoxy]acetic acid",OC(=O)C(F)OC(F)(F)C(F)(F)OC(F)(F)F,C5H2F8O4,277.9825343,276.9752538,5.407864146,4.999874396,55.39644237,-0.0247462,-0.004949364
9999999999,BHZUAVAKRCFMCN-UHFFFAOYSA-N,[(Heptadecafluorooctyl)sulfanyl]acetic acid,OC(=O)CSC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H3F17O2S,509.9582301,508.9509493,10.81572829,9.999748791,50.89637349,-0.0490507,-0.004905193
9999999999,XTRBSPVVAAOFNE-UHFFFAOYSA-N,"2-(2-bromo-5-methylphenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol",CC1=CC(=C(Br)C=C1)C(O)(C(F)(F)F)C(F)(F)F,C10H7BrF6O,335.9584463,334.951167,10.81572829,9.999748791,33.49595815,-0.048833,-0.004883423
9999999999,LVLBRKWIJOFEHS-UHFFFAOYSA-N,"2-[4-(Bromomethyl)phenyl]-1,1,1,3,3,3-hexafluoropropan-2-ol",OC(C1=CC=C(CBr)C=C1)(C(F)(F)F)C(F)(F)F,C10H7BrF6O,335.9584463,334.951167,10.81572829,9.999748791,33.49595815,-0.048833,-0.004883423
9999999999,JIPDPVQPKLVDIU-UHFFFAOYSA-N,"3,5-Dichloro-4-(1,1,2,2-tetrafluoroethoxy)aniline",NC1=CC(Cl)=C(OC(F)(F)C(F)F)C(Cl)=C1,C8H5Cl2F4NO,276.968432,275.9611518,8.652582634,7.999799033,34.49601054,-0.0388482,-0.004856147
9999999999,RIRVFUKJSNBDFN-UHFFFAOYSA-N,Perfluoro(pentadecaoxypropylene)oxyethylene,OOOOOOOOOOOOOOOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C47HF95O15,2609.77985,2608.772565,50.83392298,46.99881932,55.50719364,-0.227435,-0.004839164
9999999999,HFRHQTUSQPARJE-UHFFFAOYSA-N,"1,3-Oxathiolane-4-acetic acid, 5-oxo-2,2-bis(trifluoromethyl)-",OC(=O)CC1SC(OC1=O)(C(F)(F)F)C(F)(F)F,C7H4F6O4S,297.9734489,296.9661688,7.571009805,6.999824154,42.42480415,-0.0338312,-0.00483315
9999999999,JEDHLIXWSMGAEZ-UHFFFAOYSA-N,Perfluoro-2-[(perfluoropentyl)oxy]propanoic acid,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C8HF15O3,429.9686172,428.9613363,8.652582634,7.999799033,53.62151406,-0.0386637,-0.004833084
9999999999,ULUVMBGHGJEJLY-UHFFFAOYSA-N,Perfluoro-2-(perfluorobutoxy)-2-(perfluoromethyl)propanoic acid,OC(=O)C(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,C8HF15O3,429.9686172,428.9613363,8.652582634,7.999799033,53.62151406,-0.0386637,-0.004833084
9999999999,QFHFAPIUQQMQRN-UHFFFAOYSA-N,"2,2,3,3,4,4-Hexafluoro-4-(nonafluorobutoxy)butanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF15O3,429.9686172,428.9613363,8.652582634,7.999799033,53.62151406,-0.0386637,-0.004833084
9999999999,AYLOUUCBACYHAB-UHFFFAOYSA-N,"N-[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctyl)sulfonyl]glycine",OC(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H4F17NO4S,556.9589583,555.9516776,10.81572829,9.999748791,55.59656439,-0.0483224,-0.004832361
9999999999,GSPDBXPMTTYLFV-UHFFFAOYSA-N,Bis(pentacosafluorododecyl)phosphinic acid,OP(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C24HF50O2P,1301.891577,1300.884294,25.9577479,23.9993971,54.20487392,-0.115706,-0.004821204
9999999999,CXZGQIAOTKWCDB-UHFFFAOYSA-N,Perfluoropentanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5HF9O2,263.9832833,262.9760027,5.407864146,4.999874396,52.59652181,-0.0239973,-0.004799581
9999999999,WZQRMZSLIAFYFJ-UHFFFAOYSA-N,"3,3,3-Trifluoro-2,2-bis(trifluoromethyl)propanoic acid",OC(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C5HF9O2,263.9832833,262.9760027,5.407864146,4.999874396,52.59652181,-0.0239973,-0.004799581
9999999999,BKKNDZBSSSAGIB-UHFFFAOYSA-N,"1-Pentanesulfonamide, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-N-methyl-",CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H4F11NO2S,362.9787098,361.9714293,6.489436976,5.999849275,60.33008709,-0.0285707,-0.004761903
9999999999,MFTQISGNRWTJNY-UHFFFAOYSA-N,"N-(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoroundecyl)iodoacetamide",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCNC(=O)CI,C13H9F17INO,644.9457416,643.93846,14.06044678,12.99967343,49.53497205,-0.06154,-0.004733965
9999999999,XZNOAVNRSFURIR-UHFFFAOYSA-N,Nonafluoro-tert-butanol,OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,C4HF9O,235.9883686,234.9810881,4.326291317,3.999899517,58.74674779,-0.0189119,-0.004728094
9999999999,QXJCOPITNGTALI-UHFFFAOYSA-N,Perfluorobutanol,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4HF9O,235.9883686,234.9810881,4.326291317,3.999899517,58.74674779,-0.0189119,-0.004728094
9999999999,PWEZPHZIDUAWJD-UHFFFAOYSA-N,2-{Methyl[(nonafluorobutyl)sulfonyl]amino}ethyl phosphate,CN(CCOP(O)(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H9F9NO6PS,436.9744486,435.9671687,7.571009805,6.999824154,62.28258869,-0.0328313,-0.004690304
9999999999,PIANCHDAVNRLDV-UHFFFAOYSA-N,"2,5-Dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)aniline",NC1=CC(Cl)=C(OC(F)(F)C(F)C(F)(F)F)C=C1Cl,C9H5Cl2F6NO,326.9652385,325.9579582,9.734155463,8.999773912,36.21846075,-0.0420418,-0.004671428
9999999999,XIKVXNDOEUXLDG-UHFFFAOYSA-N,"3,5-dichloro-4-(1,1,2,3,3,3-hexafluoropropoxy)aniline",NC1=CC(Cl)=C(OC(F)(F)C(F)C(F)(F)F)C(Cl)=C1,C9H5Cl2F6NO,326.9652385,325.9579582,9.734155463,8.999773912,36.21846075,-0.0420418,-0.004671428
9999999999,GZIHKLMNBDQDOA-UHFFFAOYSA-N,"N-(4-Chlorophenyl)-1,1,2,2,2-pentafluoroethane-1-sulfinamide",FC(F)(F)C(F)(F)S(=O)NC1=CC=C(Cl)C=C1,C8H5ClF5NOS,292.9700536,291.9627735,8.652582634,7.999799033,36.49626351,-0.0372265,-0.004653429
9999999999,PDCLKAKNADZBRL-UHFFFAOYSA-N,"2,2,3,3,4,4,4-Heptafluoro-N-[(trifluoroacetyl)oxy]butanamide",FC(F)(F)C(=O)ONC(=O)C(F)(F)C(F)(F)C(F)(F)F,C6HF10NO3,324.9796751,323.9723945,6.489436976,5.999849275,53.99675553,-0.0276055,-0.004601032
9999999999,YUDUFRYTKFGQCL-UHFFFAOYSA-N,Tetrafluorosuccinic acid,OC(=O)C(F)(F)C(F)(F)C(O)=O,C4H2F4O4,189.9889214,188.9816412,4.326291317,3.999899517,47.24659718,-0.0183588,-0.004589815
9999999999,FPLJNGUIASXYLD-UHFFFAOYSA-N,"6,6,7,7,8,8,9,9,10,10,11,11,11-Tridecafluoro-4-iodoundecan-1-ol",OCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H10F13IO,531.9568798,530.9496,11.89730112,10.99972367,48.26935802,-0.0504,-0.004581933
9999999999,NGOZZJNCZLAIPT-UHFFFAOYSA-N,"5-Pentafluoroethyl-[1,3,4]thiadiazol-2-ylamine",NC1=NN=C(S1)C(F)(F)C(F)(F)F,C4H2F5N3S,218.9889592,217.9816791,4.326291317,3.999899517,54.49678878,-0.0183209,-0.00458034
9999999999,XTBYHRYZDSKSPC-UHFFFAOYSA-N,"(Dichloromethyl)[5,5,5-trifluoro-4,4-bis(trifluoromethyl)pentyl]silane",FC(F)(F)C(CCC[SiH2]C(Cl)Cl)(C(F)(F)F)C(F)(F)F,C8H9Cl2F9Si,373.9706862,372.9634057,8.652582634,7.999799033,46.62159689,-0.0365943,-0.004574402
9999999999,KRTQFEXYGLHZDD-UHFFFAOYSA-N,"[Ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonyl)amino]methanesulfonic acid",CCN(CS(O)(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H8F17NO5S2,620.9572441,619.9499635,11.89730112,10.99972367,56.36050342,-0.0500365,-0.004548887
9999999999,HPPDPHZGXWMRHN-UHFFFAOYSA-N,"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-methyl-",CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H4F13NO2S,412.9755162,411.9682357,7.571009805,6.999824154,58.85408357,-0.0317643,-0.004537871
9999999999,PXUULQAPEKKVAH-UHFFFAOYSA-N,Perfluorohexanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HF11O2,313.9800897,312.9728091,6.489436976,5.999849275,52.16344524,-0.0271909,-0.004531931
9999999999,IRWCCLQZAKMYHY-UHFFFAOYSA-N,"2,2,3,4,4,5,5,5-Octafluoro-3-(trifluoromethyl)pentanoic acid",OC(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,C6HF11O2,313.9800897,312.9728091,6.489436976,5.999849275,52.16344524,-0.0271909,-0.004531931
9999999999,WRDBFXLGIKNQFY-UHFFFAOYSA-N,"2,2,3,3,4,5,5,5-octafluoro-4-(trifluoromethyl)pentanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C6HF11O2,313.9800897,312.9728091,6.489436976,5.999849275,52.16344524,-0.0271909,-0.004531931
9999999999,LJUULLNFNNTPAJ-UHFFFAOYSA-N,"2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluoro-7-[(1,1,1,2,3,3,3-heptafluoropropan-2-yl)oxy]heptanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,C10HF19O3,529.9622301,528.954949,10.81572829,9.999748791,52.89682371,-0.045051,-0.004505213
9999999999,AFDRCEOKCOUICI-UHFFFAOYSA-N,"4,8-Dioxa-3H-perfluorononanoic acid",OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C7H2F12O4,377.9761472,376.9688665,7.571009805,6.999824154,53.85404807,-0.0311335,-0.004447755
9999999999,ULBQFKMBPFATJA-UHFFFAOYSA-N,"2-Difluoromethoxy-2,2-difluoroacetic acid",OC(=O)C(F)(F)OC(F)F,C3H2F4O3,161.9940068,160.9867266,3.244718488,2.999924637,53.66359028,-0.0132734,-0.004424578
9999999999,ZBCDLXOMWBDKBI-UHFFFAOYSA-N,"2,3,3,3-Tetrafluoro-2-hydroxypropanoic acid",OC(=O)C(O)(F)C(F)(F)F,C3H2F4O3,161.9940068,160.9867266,3.244718488,2.999924637,53.66359028,-0.0132734,-0.004424578
